PK_LatinskNavnID;Rike;Underrike;Rekke;Underrekke;Overklasse;Klasse;Underklasse;Infraklasse;Kohort;Overorden;Orden;Underorden;Infraorden;Overfamilie;Familie;Underfamilie;Tribus;Undertribus;Slekt;Underslekt;Seksjon;Art;Underart;Varietet;Form;FK_OverordnaLatinskNavnID;FK_TypeEksID;SistEndraMeningDato;Autorstreng;Hovedstatus;Bistatus;SistEndraDato;DagensDato;Forfatter;Aar;Referanse;Kommentar;PK_TaksonID;FK_GyldigLatinskNavnID;FinnesINorge;
"118083";"Plantae";;"Chlorophyta";;;"Chlorodendrophyceae";;;;;"Chlorodendrales";;;;"Halosphaeraceae";;;;"Pachysphaera";;;"pelagica";;;;"118082";"109390";"9/11/2009 12:00:00 AM";"C.H. Ostenfeld";"Gyldig";"Ingen_bistatus";"9/11/2009 12:00:00 AM";"9/11/2009 12:00:00 AM";"1899";;;"M, C";76677;118083;"Ja";
"118075";"Plantae";;"Chlorophyta";;;"Chlorodendrophyceae";;;;;"Chlorodendrales";;;;"Chlorodendraceae";;;;"Tetraselmis";;;;;;;"118074";"109382";"9/11/2009 12:00:00 AM";"F.Stein";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"9/11/2009 12:00:00 AM";;;;;76669;118075;"Nei";
"147692";"Plantae";;"Chlorophyta";;;"Chlorodendrophyceae";;;;;"Chlorodendrales";;;;"Chlorodendraceae";;;;"Scherffelia";;;;;;;"118074";"139276";;"Pascher";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"2/5/2015 12:00:00 AM";;;;;107639;147692;"Nei";
"150629";"Plantae";;"Chlorophyta";;;"Chlorodendrophyceae";;;;;"Chlorodendrales";;;;"Chlorodendraceae";;;;"Scherffelia";;;"pelagica";;;;"147692";"142216";;"Skuja";"Gyldig";"Ingen_bistatus";"2/9/2015 12:00:00 AM";"2/9/2015 12:00:00 AM";;;;;110589;150629;"Nei";
"151256";"Plantae";;"Chlorophyta";;;"Chlorodendrophyceae";;;;;"Chlorodendrales";;;;"Chlorodendraceae";;;;"Scherffelia";;;"dubia";;;;"147692";"142843";;"(Perty) Pascher";"Gyldig";"Ingen_bistatus";"2/11/2015 12:00:00 AM";"2/11/2015 12:00:00 AM";;;;;111222;151256;"Ja";
"118076";"Plantae";;"Chlorophyta";;;"Chlorodendrophyceae";;;;;"Chlorodendrales";;;;"Chlorodendraceae";;;;"Tetraselmis";;;"gracilis";;;;"118075";"109383";"9/11/2009 12:00:00 AM";"(Kylin) Butcher";"Gyldig";"Ingen_bistatus";"9/11/2009 12:00:00 AM";"9/11/2009 12:00:00 AM";"1959";;;"M, C";76670;118076;"Ja";
"118077";"Plantae";;"Chlorophyta";;;"Chlorodendrophyceae";;;;;"Chlorodendrales";;;;"Chlorodendraceae";;;;"Tetraselmis";;;"micropapillata";;;;"118075";"109384";"9/11/2009 12:00:00 AM";"(Ålvik) Butcher";"Gyldig";"Ingen_bistatus";"9/11/2009 12:00:00 AM";"9/11/2009 12:00:00 AM";"1959";;;"P";76671;118077;"Ja";
"118078";"Plantae";;"Chlorophyta";;;"Chlorodendrophyceae";;;;;"Chlorodendrales";;;;"Chlorodendraceae";;;;"Tetraselmis";;;"rubens";;;;"118075";"109385";"9/11/2009 12:00:00 AM";"Butcher";"Gyldig";"Ingen_bistatus";"9/11/2009 12:00:00 AM";"9/11/2009 12:00:00 AM";"1959";;;"M, C";76672;118078;"Ja";
"118079";"Plantae";;"Chlorophyta";;;"Chlorodendrophyceae";;;;;"Chlorodendrales";;;;"Chlorodendraceae";;;;"Tetraselmis";;;"striata";;;;"118075";"109386";"9/11/2009 12:00:00 AM";"Butcher";"Gyldig";"Ingen_bistatus";"9/11/2009 12:00:00 AM";"9/11/2009 12:00:00 AM";"1959";;;"M, C";76673;118079;"Ja";
"118080";"Plantae";;"Chlorophyta";;;"Chlorodendrophyceae";;;;;"Chlorodendrales";;;;"Chlorodendraceae";;;;"Tetraselmis";;;"tetrathele";;;;"118075";"109387";"9/11/2009 12:00:00 AM";"(West) Butcher";"Gyldig";"Ingen_bistatus";"9/11/2009 12:00:00 AM";"9/11/2009 12:00:00 AM";"1959";;;"M, C";76674;118080;"Ja";
