kingdom	phylum	class_name	order	family	genus	species	subspecies	variety	forma	author	status	status-2	nomac_scientific_name	nomac_rank	nomac_parent	nomac_classification	dyntaxa_id	dyntaxa_scientific_name	dyntaxa_url
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	gracilis				(Kylin) Butcher	Gyldig	Ingen_bistatus	Tetraselmis gracilis	Species	Tetraselmis	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Tetraselmis gracilis	238992.0	Tetraselmis gracilis	https://www.dyntaxa.se/taxon/info/238992
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	micropapillata				(Ålvik) Butcher	Gyldig	Ingen_bistatus	Tetraselmis micropapillata	Species	Tetraselmis	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Tetraselmis micropapillata	238998.0	Tetraselmis micropapillata	https://www.dyntaxa.se/taxon/info/238998
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	rubens				Butcher	Gyldig	Ingen_bistatus	Tetraselmis rubens	Species	Tetraselmis	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Tetraselmis rubens	238993.0	Tetraselmis rubens	https://www.dyntaxa.se/taxon/info/238993
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	striata				Butcher	Gyldig	Ingen_bistatus	Tetraselmis striata	Species	Tetraselmis	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Tetraselmis striata	238994.0	Tetraselmis striata	https://www.dyntaxa.se/taxon/info/238994
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	tetrathele				(West) Butcher	Gyldig	Ingen_bistatus	Tetraselmis tetrathele	Species	Tetraselmis	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Tetraselmis tetrathele	238997.0	Tetraselmis tetrathele	https://www.dyntaxa.se/taxon/info/238997
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	convolutae				(Parke & Manton) R.E.Norris, T.Hori & Chihara	Gyldig	Ingen_bistatus	Tetraselmis convolutae	Species	Tetraselmis	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Tetraselmis convolutae	238990.0	Tetraselmis convolutae	https://www.dyntaxa.se/taxon/info/238990
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	cordiformis				(H.J.Carter) F.Stein	Gyldig	Ingen_bistatus	Tetraselmis cordiformis	Species	Tetraselmis	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Tetraselmis cordiformis	238991.0	Tetraselmis cordiformis	https://www.dyntaxa.se/taxon/info/238991
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	marina				(Cienk.) R.E.Norris, T.Hori & Chihara	Gyldig	Ingen_bistatus	Tetraselmis marina	Species	Tetraselmis	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Tetraselmis marina	238989.0	Tetraselmis marina	https://www.dyntaxa.se/taxon/info/238989
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	subcordiformis				(Wille) Butcher	Gyldig	Ingen_bistatus	Tetraselmis subcordiformis	Species	Tetraselmis	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Tetraselmis subcordiformis	238995.0	Tetraselmis subcordiformis	https://www.dyntaxa.se/taxon/info/238995
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	suecica				(Kylin) Butcher	Gyldig	Ingen_bistatus	Tetraselmis suecica	Species	Tetraselmis	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Tetraselmis suecica	238996.0	Tetraselmis suecica	https://www.dyntaxa.se/taxon/info/238996
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales							Moestrup	Gyldig	Ingen_bistatus	Mamiellales	Order	Mamiellophyceae	Plantae - Chlorophyta - Mamiellophyceae - Mamiellales	3000645.0	Mamiellales	https://www.dyntaxa.se/taxon/info/3000645
Plantae	Chlorophyta	Mamiellophyceae	Dolichomastigales							B.Marin & Melkonian	Gyldig	Ingen_bistatus	Dolichomastigales	Order	Mamiellophyceae	Plantae - Chlorophyta - Mamiellophyceae - Dolichomastigales	3000835.0	Dolichomastigales	https://www.dyntaxa.se/taxon/info/3000835
Plantae	Chlorophyta	Mamiellophyceae	Monomastigales							R.E.Norris ex Melkonian & B.Marin	Gyldig	Ingen_bistatus	Monomastigales	Order	Mamiellophyceae	Plantae - Chlorophyta - Mamiellophyceae - Monomastigales	3000836.0	Monomastigales	https://www.dyntaxa.se/taxon/info/3000836
Plantae	Chlorophyta	Mamiellophyceae	Monomastigales	Monomastigaceae						Hub.-Pest. ex B.Marin & Melkonian	Gyldig	Ingen_bistatus	Monomastigaceae	Family	Monomastigales	Plantae - Chlorophyta - Mamiellophyceae - Monomastigales - Monomastigaceae	2003893.0	Monomastigaceae	https://www.dyntaxa.se/taxon/info/2003893
Plantae	Chlorophyta	Mamiellophyceae	Monomastigales	Monomastigaceae	Monomastix					Scherff.	Gyldig	Ingen_bistatus	Monomastix	Genus	Monomastigaceae	Plantae - Chlorophyta - Mamiellophyceae - Monomastigales - Monomastigaceae - Monomastix	1016211.0	Monomastix	https://www.dyntaxa.se/taxon/info/1016211
Plantae	Chlorophyta	Mamiellophyceae	Dolichomastigales	Dolichomastigaceae						B.Marin & Melkonian	Gyldig	Ingen_bistatus	Dolichomastigaceae	Family	Dolichomastigales	Plantae - Chlorophyta - Mamiellophyceae - Dolichomastigales - Dolichomastigaceae	2003920.0	Dolichomastigaceae	https://www.dyntaxa.se/taxon/info/2003920
Plantae	Chlorophyta	Mamiellophyceae	Dolichomastigales	Dolichomastigaceae	Dolichomastix					Manton	Gyldig	Ingen_bistatus	Dolichomastix	Genus	Dolichomastigaceae	Plantae - Chlorophyta - Mamiellophyceae - Dolichomastigales - Dolichomastigaceae - Dolichomastix	1010818.0	Dolichomastix	https://www.dyntaxa.se/taxon/info/1010818
Plantae	Chlorophyta	Mamiellophyceae	Dolichomastigales	Dolichomastigaceae	Dolichomastix	lepidota				Manton	Gyldig	Ingen_bistatus	Dolichomastix lepidota	Species	Dolichomastix	Plantae - Chlorophyta - Mamiellophyceae - Dolichomastigales - Dolichomastigaceae - Dolichomastix lepidota	239002.0	Dolichomastix lepidota	https://www.dyntaxa.se/taxon/info/239002
Plantae	Chlorophyta	Mamiellophyceae	Dolichomastigales	Dolichomastigaceae	Dolichomastix	nummullifera				Manton	Gyldig	Ingen_bistatus	Dolichomastix nummullifera	Species	Dolichomastix	Plantae - Chlorophyta - Mamiellophyceae - Dolichomastigales - Dolichomastigaceae - Dolichomastix nummullifera			
Plantae	Chlorophyta	Mamiellophyceae	Dolichomastigales	Dolichomastigaceae	Dolichomastix	nummulifera				Manton	Gyldig	Ingen_bistatus	Dolichomastix nummulifera	Species	Dolichomastix	Plantae - Chlorophyta - Mamiellophyceae - Dolichomastigales - Dolichomastigaceae - Dolichomastix nummulifera	239003.0	Dolichomastix nummulifera	https://www.dyntaxa.se/taxon/info/239003
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae						Moestrup	Gyldig	Ingen_bistatus	Mamiellaceae	Family	Mamiellales	Plantae - Chlorophyta - Mamiellophyceae - Mamiellales - Mamiellaceae	2003309.0	Mamiellaceae	https://www.dyntaxa.se/taxon/info/2003309
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae						B.Marin & Melkonian	Gyldig	Ingen_bistatus	Bathycoccaceae	Family	Mamiellales	Plantae - Chlorophyta - Mamiellophyceae - Mamiellales - Bathycoccaceae	2003894.0	Bathycoccaceae	https://www.dyntaxa.se/taxon/info/2003894
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus					Eikrem & Throndsen	Gyldig	Ingen_bistatus	Bathycoccus	Genus	Bathycoccaceae	Plantae - Chlorophyta - Mamiellophyceae - Mamiellales - Bathycoccaceae - Bathycoccus	1010816.0	Bathycoccus	https://www.dyntaxa.se/taxon/info/1010816
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Ostreococcus					Courties & Chret.-Dinet.	Gyldig	Ingen_bistatus	Ostreococcus	Genus	Bathycoccaceae	Plantae - Chlorophyta - Mamiellophyceae - Mamiellales - Bathycoccaceae - Ostreococcus	1016216.0	Ostreococcus	https://www.dyntaxa.se/taxon/info/1016216
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Ostreococcus	taurii				Guillou & Chrëtiennot-Dinet	Gyldig	Ingen_bistatus	Ostreococcus taurii	Species	Ostreococcus	Plantae - Chlorophyta - Mamiellophyceae - Mamiellales - Bathycoccaceae - Ostreococcus taurii			
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Ostreococcus	tauri				Courties & Chret.-Dinet.	Gyldig	Ingen_bistatus	Ostreococcus tauri	Species	Ostreococcus	Plantae - Chlorophyta - Mamiellophyceae - Mamiellales - Bathycoccaceae - Ostreococcus tauri	263282.0	Ostreococcus tauri	https://www.dyntaxa.se/taxon/info/263282
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	prasinos				W. Eikrem & J. Throndsen	Gyldig	Ingen_bistatus	Bathycoccus prasinos	Species	Bathycoccus	Plantae - Chlorophyta - Mamiellophyceae - Mamiellales - Bathycoccaceae - Bathycoccus prasinos	239000.0	Bathycoccus prasinos	https://www.dyntaxa.se/taxon/info/239000
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Mamiella					Moestrup	Gyldig	Ingen_bistatus	Mamiella	Genus	Mamiellaceae	Plantae - Chlorophyta - Mamiellophyceae - Mamiellales - Mamiellaceae - Mamiella	1010815.0	Mamiella	https://www.dyntaxa.se/taxon/info/1010815
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Mantoniella					T.V. Desikachary	Gyldig	Ingen_bistatus	Mantoniella	Genus	Mamiellaceae	Plantae - Chlorophyta - Mamiellophyceae - Mamiellales - Mamiellaceae - Mantoniella	1010817.0	Mantoniella	https://www.dyntaxa.se/taxon/info/1010817
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas					I. Manton & M. Parke	Gyldig	Ingen_bistatus	Micromonas	Genus	Mamiellaceae	Plantae - Chlorophyta - Mamiellophyceae - Mamiellales - Mamiellaceae - Micromonas	1010819.0	Micromonas	https://www.dyntaxa.se/taxon/info/1010819
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	pusilla				(R.W. Butcher) I. Manton & M. Parke	Gyldig	Ingen_bistatus	Micromonas pusilla	Species	Micromonas	Plantae - Chlorophyta - Mamiellophyceae - Mamiellales - Mamiellaceae - Micromonas pusilla	239004.0	Micromonas pusilla	https://www.dyntaxa.se/taxon/info/239004
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Mantoniella	squamata				(I. Manton & M. Parke) T.V. Desikachary	Gyldig	Ingen_bistatus	Mantoniella squamata	Species	Mantoniella	Plantae - Chlorophyta - Mamiellophyceae - Mamiellales - Mamiellaceae - Mantoniella squamata	239001.0	Mantoniella squamata	https://www.dyntaxa.se/taxon/info/239001
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Mamiella	gilva				(M. Parke & D.G. Rayns) Ø. Moestrup	Gyldig	Ingen_bistatus	Mamiella gilva	Species	Mamiella	Plantae - Chlorophyta - Mamiellophyceae - Mamiellales - Mamiellaceae - Mamiella gilva	238999.0	Mamiella gilva	https://www.dyntaxa.se/taxon/info/238999
Plantae	Chlorophyta	Incertae sedis	Incertae sedis								Gyldig	Ingen_bistatus	Incertae sedis	Order	Incertae sedis	Plantae - Chlorophyta - Incertae sedis - Incertae sedis			
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae							Gyldig	Ingen_bistatus	Distomataceae	Family	Incertae sedis	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Distomataceae	2003782.0	Distomataceae	https://www.dyntaxa.se/taxon/info/2003782
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Paramastigaceae							Gyldig	Ingen_bistatus	Paramastigaceae	Family	Incertae sedis	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Paramastigaceae	2003783.0	Paramastigaceae	https://www.dyntaxa.se/taxon/info/2003783
