scientific_name	rank	author	parent	classification	source	dyntaxa_id	dyntaxa_scientific_name	dyntaxa_url
Chroococcus prescottii	Species	F.E.Drouet & W.A.Daily	Chroococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus prescottii	Artsnavnebase 20170303	257601	Chroococcus prescottii	https://www.dyntaxa.se/taxon/info/257601
Chroococcus rufescens	Species	(Kütz.) Nägeli	Chroococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus rufescens	Artsnavnebase 20170303	260583	Chroococcus rufescens	https://www.dyntaxa.se/taxon/info/260583
Chroococcus siderochlamys	Species	Skuja	Chroococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus siderochlamys	Artsnavnebase 20170303	257603	Chroococcus siderochlamys	https://www.dyntaxa.se/taxon/info/257603
Chroococcus submarinus	Species	(Hansgirg) Kovácik	Chroococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus submarinus	Artsnavnebase 20170303	263177	Chroococcus submarinus	https://www.dyntaxa.se/taxon/info/263177
Chroococcus turgidus	Species	(Kützing) Nägeli	Chroococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus turgidus	Artsnavnebase 20170303	236814	Chroococcus turgidus	https://www.dyntaxa.se/taxon/info/236814
Chroococcus turicensis	Species	(Nägeli) Hansg.	Chroococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus turicensis	Artsnavnebase 20170303	263433	Chroococcus turicensis	https://www.dyntaxa.se/taxon/info/263433
Chroococcus varius	Species	A.Braun in Rabenh.	Chroococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus varius	Artsnavnebase 20170303	263434	Chroococcus varius	https://www.dyntaxa.se/taxon/info/263434
Chroococcus westii	Species	Boye-Petersen	Chroococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus westii	Artsnavnebase 20170303	257602	Chroococcus westii	https://www.dyntaxa.se/taxon/info/257602
Gloeocapsopsis	Genus	Geitler ex Komárek	Chroococcaceae	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Gloeocapsopsis	Artsnavnebase 20170303	1010251	Gloeocapsopsis	https://www.dyntaxa.se/taxon/info/1010251
Gloeocapsopsis crepidinum	Species	(Thuret) Geitler ex Komàrek	Gloeocapsopsis	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Gloeocapsopsis crepidinum	Artsnavnebase 20170303	236816	Gloeocapsopsis crepidinum	https://www.dyntaxa.se/taxon/info/236816
