kingdom	phylum	class_name	order	family	genus	species	subspecies	variety	forma	author	status	status-2	nomac_scientific_name	nomac_rank	nomac_parent	nomac_classification
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	convolutae				(Parke & Manton) R.E.Norris, T.Hori & Chihara	Gyldig	Ingen_bistatus	Tetraselmis convolutae	Species	Tetraselmis	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Tetraselmis convolutae
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	cordiformis				(H.J.Carter) F.Stein	Gyldig	Ingen_bistatus	Tetraselmis cordiformis	Species	Tetraselmis	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Tetraselmis cordiformis
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	marina				(Cienk.) R.E.Norris, T.Hori & Chihara	Gyldig	Ingen_bistatus	Tetraselmis marina	Species	Tetraselmis	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Tetraselmis marina
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	subcordiformis				(Wille) Butcher	Gyldig	Ingen_bistatus	Tetraselmis subcordiformis	Species	Tetraselmis	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Tetraselmis subcordiformis
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	suecica				(Kylin) Butcher	Gyldig	Ingen_bistatus	Tetraselmis suecica	Species	Tetraselmis	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Tetraselmis suecica
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales							Moestrup	Gyldig	Ingen_bistatus	Mamiellales	Order	Mamiellophyceae	Plantae - Chlorophyta - Mamiellophyceae - Mamiellales
Plantae	Chlorophyta	Mamiellophyceae	Dolichomastigales							B.Marin & Melkonian	Gyldig	Ingen_bistatus	Dolichomastigales	Order	Mamiellophyceae	Plantae - Chlorophyta - Mamiellophyceae - Dolichomastigales
Plantae	Chlorophyta	Mamiellophyceae	Monomastigales							R.E.Norris ex Melkonian & B.Marin	Gyldig	Ingen_bistatus	Monomastigales	Order	Mamiellophyceae	Plantae - Chlorophyta - Mamiellophyceae - Monomastigales
Plantae	Chlorophyta	Mamiellophyceae	Monomastigales	Monomastigaceae						Hub.-Pest. ex B.Marin & Melkonian	Gyldig	Ingen_bistatus	Monomastigaceae	Family	Monomastigales	Plantae - Chlorophyta - Mamiellophyceae - Monomastigales - Monomastigaceae
Plantae	Chlorophyta	Mamiellophyceae	Monomastigales	Monomastigaceae	Monomastix					Scherff.	Gyldig	Ingen_bistatus	Monomastix	Genus	Monomastigaceae	Plantae - Chlorophyta - Mamiellophyceae - Monomastigales - Monomastigaceae - Monomastix
Plantae	Chlorophyta	Mamiellophyceae	Dolichomastigales	Dolichomastigaceae						B.Marin & Melkonian	Gyldig	Ingen_bistatus	Dolichomastigaceae	Family	Dolichomastigales	Plantae - Chlorophyta - Mamiellophyceae - Dolichomastigales - Dolichomastigaceae
Plantae	Chlorophyta	Mamiellophyceae	Dolichomastigales	Dolichomastigaceae	Dolichomastix					Manton	Gyldig	Ingen_bistatus	Dolichomastix	Genus	Dolichomastigaceae	Plantae - Chlorophyta - Mamiellophyceae - Dolichomastigales - Dolichomastigaceae - Dolichomastix
Plantae	Chlorophyta	Mamiellophyceae	Dolichomastigales	Dolichomastigaceae	Dolichomastix	lepidota				Manton	Gyldig	Ingen_bistatus	Dolichomastix lepidota	Species	Dolichomastix	Plantae - Chlorophyta - Mamiellophyceae - Dolichomastigales - Dolichomastigaceae - Dolichomastix lepidota
Plantae	Chlorophyta	Mamiellophyceae	Dolichomastigales	Dolichomastigaceae	Dolichomastix	nummullifera				Manton	Gyldig	Ingen_bistatus	Dolichomastix nummullifera	Species	Dolichomastix	Plantae - Chlorophyta - Mamiellophyceae - Dolichomastigales - Dolichomastigaceae - Dolichomastix nummullifera
Plantae	Chlorophyta	Mamiellophyceae	Dolichomastigales	Dolichomastigaceae	Dolichomastix	nummulifera				Manton	Gyldig	Ingen_bistatus	Dolichomastix nummulifera	Species	Dolichomastix	Plantae - Chlorophyta - Mamiellophyceae - Dolichomastigales - Dolichomastigaceae - Dolichomastix nummulifera
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae						Moestrup	Gyldig	Ingen_bistatus	Mamiellaceae	Family	Mamiellales	Plantae - Chlorophyta - Mamiellophyceae - Mamiellales - Mamiellaceae
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae						B.Marin & Melkonian	Gyldig	Ingen_bistatus	Bathycoccaceae	Family	Mamiellales	Plantae - Chlorophyta - Mamiellophyceae - Mamiellales - Bathycoccaceae
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus					Eikrem & Throndsen	Gyldig	Ingen_bistatus	Bathycoccus	Genus	Bathycoccaceae	Plantae - Chlorophyta - Mamiellophyceae - Mamiellales - Bathycoccaceae - Bathycoccus
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Ostreococcus					Courties & Chret.-Dinet.	Gyldig	Ingen_bistatus	Ostreococcus	Genus	Bathycoccaceae	Plantae - Chlorophyta - Mamiellophyceae - Mamiellales - Bathycoccaceae - Ostreococcus
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Ostreococcus	taurii				Guillou & Chrëtiennot-Dinet	Gyldig	Ingen_bistatus	Ostreococcus taurii	Species	Ostreococcus	Plantae - Chlorophyta - Mamiellophyceae - Mamiellales - Bathycoccaceae - Ostreococcus taurii
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Ostreococcus	tauri				Courties & Chret.-Dinet.	Gyldig	Ingen_bistatus	Ostreococcus tauri	Species	Ostreococcus	Plantae - Chlorophyta - Mamiellophyceae - Mamiellales - Bathycoccaceae - Ostreococcus tauri
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	prasinos				W. Eikrem & J. Throndsen	Gyldig	Ingen_bistatus	Bathycoccus prasinos	Species	Bathycoccus	Plantae - Chlorophyta - Mamiellophyceae - Mamiellales - Bathycoccaceae - Bathycoccus prasinos
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Mamiella					Moestrup	Gyldig	Ingen_bistatus	Mamiella	Genus	Mamiellaceae	Plantae - Chlorophyta - Mamiellophyceae - Mamiellales - Mamiellaceae - Mamiella
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Mantoniella					T.V. Desikachary	Gyldig	Ingen_bistatus	Mantoniella	Genus	Mamiellaceae	Plantae - Chlorophyta - Mamiellophyceae - Mamiellales - Mamiellaceae - Mantoniella
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas					I. Manton & M. Parke	Gyldig	Ingen_bistatus	Micromonas	Genus	Mamiellaceae	Plantae - Chlorophyta - Mamiellophyceae - Mamiellales - Mamiellaceae - Micromonas
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	pusilla				(R.W. Butcher) I. Manton & M. Parke	Gyldig	Ingen_bistatus	Micromonas pusilla	Species	Micromonas	Plantae - Chlorophyta - Mamiellophyceae - Mamiellales - Mamiellaceae - Micromonas pusilla
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Mantoniella	squamata				(I. Manton & M. Parke) T.V. Desikachary	Gyldig	Ingen_bistatus	Mantoniella squamata	Species	Mantoniella	Plantae - Chlorophyta - Mamiellophyceae - Mamiellales - Mamiellaceae - Mantoniella squamata
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Mamiella	gilva				(M. Parke & D.G. Rayns) Ø. Moestrup	Gyldig	Ingen_bistatus	Mamiella gilva	Species	Mamiella	Plantae - Chlorophyta - Mamiellophyceae - Mamiellales - Mamiellaceae - Mamiella gilva
Plantae	Chlorophyta	Incertae sedis	Incertae sedis								Gyldig	Ingen_bistatus	Incertae sedis	Order	Incertae sedis	Plantae - Chlorophyta - Incertae sedis - Incertae sedis
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae							Gyldig	Ingen_bistatus	Distomataceae	Family	Incertae sedis	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Distomataceae
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Paramastigaceae							Gyldig	Ingen_bistatus	Paramastigaceae	Family	Incertae sedis	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Paramastigaceae
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Tetramitaceae							Gyldig	Ingen_bistatus	Tetramitaceae	Family	Incertae sedis	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Tetramitaceae
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Tetramitaceae	Tetramitus					Perty	Gyldig	Ingen_bistatus	Tetramitus	Genus	Tetramitaceae	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Tetramitaceae - Tetramitus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Tetramitaceae	Tetramitus	descissus				Perty	Gyldig	Ingen_bistatus	Tetramitus descissus	Species	Tetramitus	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Tetramitaceae - Tetramitus descissus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Tetramitaceae	Tetramitus	pyriformis				G.A. Klebs	Gyldig	Ingen_bistatus	Tetramitus pyriformis	Species	Tetramitus	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Tetramitaceae - Tetramitus pyriformis
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Tetramitaceae	Tetramitus	rostratus				Perty	Gyldig	Ingen_bistatus	Tetramitus rostratus	Species	Tetramitus	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Tetramitaceae - Tetramitus rostratus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Tetramitaceae	Tetramitus	rotundatus				Skuja	Gyldig	Ingen_bistatus	Tetramitus rotundatus	Species	Tetramitus	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Tetramitaceae - Tetramitus rotundatus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Paramastigaceae	Paramastix					Skuja, 1948	Gyldig	Ingen_bistatus	Paramastix	Genus	Paramastigaceae	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Paramastigaceae - Paramastix
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Paramastigaceae	Paramastix	conifera				Skuja	Gyldig	Ingen_bistatus	Paramastix conifera	Species	Paramastix	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Paramastigaceae - Paramastix conifera
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Paramastigaceae	Paramastix	lata				Skuja	Gyldig	Ingen_bistatus	Paramastix lata	Species	Paramastix	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Paramastigaceae - Paramastix lata
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Paramastigaceae	Paramastix	truncata				Skuja	Gyldig	Ingen_bistatus	Paramastix truncata	Species	Paramastix	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Paramastigaceae - Paramastix truncata
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Hexamitus					Dujardin	Gyldig	Ingen_bistatus	Hexamitus	Genus	Distomataceae	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Distomataceae - Hexamitus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Trepomonas					Dujardin, 1841	Gyldig	Ingen_bistatus	Trepomonas	Genus	Distomataceae	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Distomataceae - Trepomonas
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Trigonomonas					Klebs, 1892	Gyldig	Ingen_bistatus	Trigonomonas	Genus	Distomataceae	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Distomataceae - Trigonomonas
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Trigonomonas	aechme				Skuja	Gyldig	Ingen_bistatus	Trigonomonas aechme	Species	Trigonomonas	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Distomataceae - Trigonomonas aechme
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Trigonomonas	compressa				G.A. Klebs	Gyldig	Ingen_bistatus	Trigonomonas compressa	Species	Trigonomonas	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Distomataceae - Trigonomonas compressa
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Trigonomonas	inflata				Skuja	Gyldig	Ingen_bistatus	Trigonomonas inflata	Species	Trigonomonas	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Distomataceae - Trigonomonas inflata
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Trigonomonas	intermittens				Skuja	Gyldig	Ingen_bistatus	Trigonomonas intermittens	Species	Trigonomonas	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Distomataceae - Trigonomonas intermittens
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Trigonomonas	tortuosa				Skuja	Gyldig	Ingen_bistatus	Trigonomonas tortuosa	Species	Trigonomonas	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Distomataceae - Trigonomonas tortuosa
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Trepomonas	agilis				Dujard.	Gyldig	Ingen_bistatus	Trepomonas agilis	Species	Trepomonas	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Distomataceae - Trepomonas agilis
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Trepomonas	latecapitata				Skuja	Gyldig	Ingen_bistatus	Trepomonas latecapitata	Species	Trepomonas	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Distomataceae - Trepomonas latecapitata
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Trepomonas	rotans				G.A. Klebs	Gyldig	Ingen_bistatus	Trepomonas rotans	Species	Trepomonas	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Distomataceae - Trepomonas rotans
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Hexamitus	crassus				G.A. Klebs	Gyldig	Ingen_bistatus	Hexamitus crassus	Species	Hexamitus	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Distomataceae - Hexamitus crassus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Hexamitus	inflatus				Dujard.	Gyldig	Ingen_bistatus	Hexamitus inflatus	Species	Hexamitus	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Distomataceae - Hexamitus inflatus
