scientific_name	rank	author	parent	classification	source
Navicula duerrenbergiana	Species	Hust. in A. Schmidt	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula duerrenbergiana	Artsnavnebase 20170303
Navicula elaphros	Species	M.H.Hohn & Hellerman	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula elaphros	Artsnavnebase 20170303
Navicula erifuga	Species	Lange-Bert.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula erifuga	Artsnavnebase 20170303
Navicula escambia	Species	(R.M.Patrick) Metzeltin & Lange-Bert.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula escambia	Artsnavnebase 20170303
Navicula exilis	Species	Kütz.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula exilis	Artsnavnebase 20170303
Navicula farta	Species	Hust.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula farta	Artsnavnebase 20170303
Navicula festiva	Species	Krasske	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula festiva	Artsnavnebase 20170303
Navicula flanatica	Species	Grunow, 1860	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula flanatica	Artsnavnebase 20170303
Navicula gelida	Species	Grunow	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula gelida	Artsnavnebase 20170303
Navicula germainii	Species	J.H.Wallace	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula germainii	Artsnavnebase 20170303
Navicula globulifera	Species	Hust.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula globulifera	Artsnavnebase 20170303
Navicula gottlandica	Species	Grunow	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula gottlandica	Artsnavnebase 20170303
Navicula graciloides	Species	Ant.Mayer	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula graciloides	Artsnavnebase 20170303
Navicula granii	Species	(Jørg.) Gran	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula granii	Artsnavnebase 20170303
Navicula gregaria	Species	Donkin	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula gregaria	Artsnavnebase 20170303
Navicula heimansioides	Species	Lange-Bert.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula heimansioides	Artsnavnebase 20170303
Navicula hofmanniae	Species	Lange-Bert.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula hofmanniae	Artsnavnebase 20170303
Navicula ingenua	Species	Hust.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula ingenua	Artsnavnebase 20170303
Navicula integra	Species	(W.Sm.) Ralfs	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula integra	Artsnavnebase 20170303
Navicula ireneae	Species	Van de Vijver, Jarlman & Lange-Bert.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula ireneae	Artsnavnebase 20170303
Navicula irmengardis	Species	Lange-Bert.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula irmengardis	Artsnavnebase 20170303
Navicula jentzschii	Species	Grunow	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula jentzschii	Artsnavnebase 20170303
Navicula kariana	Species	Cleve &	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula kariana	Artsnavnebase 20170303
Navicula kariana var. detersa	Variety	Grunow	kariana	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula kariana var. detersa	Artsnavnebase 20170303
Navicula kohlmaieri	Species	Lange-Bert.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula kohlmaieri	Artsnavnebase 20170303
Navicula kotschyi	Species	Grunow	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula kotschyi	Artsnavnebase 20170303
Navicula lanceolata	Species	(C.Agardh) Ehrenb.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula lanceolata	Artsnavnebase 20170303
Navicula laterostrata	Species	Hust.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula laterostrata	Artsnavnebase 20170303
Navicula laticeps	Species	Hust.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula laticeps	Artsnavnebase 20170303
Navicula leptostriata	Species	E.G.Jørg.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula leptostriata	Artsnavnebase 20170303
Navicula lesmonensis	Species	Hust.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula lesmonensis	Artsnavnebase 20170303
Navicula longicephala	Species	Hust.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula longicephala	Artsnavnebase 20170303
Navicula lucidula	Species	Grunow in Van Heurck	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula lucidula	Artsnavnebase 20170303
Navicula lundii	Species	E.Reichardt	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula lundii	Artsnavnebase 20170303
Navicula margalithii	Species	Lange-Bert.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula margalithii	Artsnavnebase 20170303
Navicula medioconvexa	Species	Hust.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula medioconvexa	Artsnavnebase 20170303
Navicula menisculus	Species	Schum.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula menisculus	Artsnavnebase 20170303
Navicula meniscus	Species	Schum.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula meniscus	Artsnavnebase 20170303
Navicula microcari	Species	Lange-Bert.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula microcari	Artsnavnebase 20170303
Navicula microcephala	Species	Grunow in Van Heurck	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula microcephala	Artsnavnebase 20170303
Navicula moskalii	Species	Metzeltin, Witkowski & Lange-Bert.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula moskalii	Artsnavnebase 20170303
Navicula muticopsis	Species	Van Heurck	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula muticopsis	Artsnavnebase 20170303
Navicula namibica	Species	Lange-Bert. & Rumrich	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula namibica	Artsnavnebase 20170303
Navicula neomundana	Species	(Lange-Bert. & Rumrich) Lange-Bert., Jarlman & Van de Vijver	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula neomundana	Artsnavnebase 20170303
Navicula notha	Species	J.H.Wallace	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula notha	Artsnavnebase 20170303
Navicula obdurata	Species	M.H.Hohn & Hellerman	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula obdurata	Artsnavnebase 20170303
Navicula oblonga	Species	(Kütz.) Kütz.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula oblonga	Artsnavnebase 20170303
Navicula obsoleta	Species	Hust.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula obsoleta	Artsnavnebase 20170303
Navicula occulta	Species	Krasske	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula occulta	Artsnavnebase 20170303
Navicula oestrupioides	Species	Hustedt	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula oestrupioides	Artsnavnebase 20170303
Navicula opportuna	Species	Hust.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula opportuna	Artsnavnebase 20170303
Navicula oppugnata	Species	Hust.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula oppugnata	Artsnavnebase 20170303
Navicula palpebralis	Species	Bréb. ex W.Sm.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula palpebralis	Artsnavnebase 20170303
Navicula parsura	Species	Hust.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula parsura	Artsnavnebase 20170303
Navicula pelagica	Species	Cleve	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula pelagica	Artsnavnebase 20170303
Navicula pelliculosa	Species	(Bréb. ex Kütz.) Hilse in Rabenh.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula pelliculosa	Artsnavnebase 20170303
Navicula peregrina	Species	(Ehrenb.) Kütz.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula peregrina	Artsnavnebase 20170303
Navicula peregrina var. peregrina	Variety	(Ehrenb.) Kütz.	peregrina	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula peregrina var. peregrina	Artsnavnebase 20170303
Navicula perminuta	Species	Grunow in Van Heurck	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula perminuta	Artsnavnebase 20170303
Navicula phyllepta	Species	Kütz.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula phyllepta	Artsnavnebase 20170303
Navicula phylleptosoma	Species	Lange-Bert.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula phylleptosoma	Artsnavnebase 20170303
Navicula platystoma	Species	Ehrenb.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula platystoma	Artsnavnebase 20170303
Navicula praeterita	Species	Hust.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula praeterita	Artsnavnebase 20170303
Navicula pseudobryophila	Species	Hust.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula pseudobryophila	Artsnavnebase 20170303
Navicula pseudolanceolata	Species	Lange-Bert.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula pseudolanceolata	Artsnavnebase 20170303
Navicula pseudotenelloides	Species	Krasske	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula pseudotenelloides	Artsnavnebase 20170303
Navicula pseudotuscula	Species	Hust.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula pseudotuscula	Artsnavnebase 20170303
Navicula pusilla	Species	W.Sm.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula pusilla	Artsnavnebase 20170303
Navicula radiosa	Species	Kütz.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula radiosa	Artsnavnebase 20170303
Navicula radiosafallax	Species	Lange-Bert.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula radiosafallax	Artsnavnebase 20170303
Navicula radiosiola	Species	Lange-Bert.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula radiosiola	Artsnavnebase 20170303
Navicula recens	Species	(Lange-Bert.) Lange-Bert.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula recens	Artsnavnebase 20170303
Navicula reichardtiana	Species	Lange-Bert.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula reichardtiana	Artsnavnebase 20170303
Navicula reinhardtii	Species	(Grunow) Grunow in Cleve & Möller	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula reinhardtii	Artsnavnebase 20170303
Navicula rhynchocephala	Species	Kütz.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula rhynchocephala	Artsnavnebase 20170303
Navicula rhynchotella	Species	Lange-Bert.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula rhynchotella	Artsnavnebase 20170303
Navicula rostellata	Species	Kütz.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula rostellata	Artsnavnebase 20170303
Navicula rotunda	Species	Hust.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula rotunda	Artsnavnebase 20170303
Navicula salinarum	Species	Grunow in Cleve & Grunow	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula salinarum	Artsnavnebase 20170303
Navicula scaniae	Species	Van de Vijver, Jarlman & Lange-Bert.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula scaniae	Artsnavnebase 20170303
Navicula schadei	Species	Krasske	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula schadei	Artsnavnebase 20170303
Navicula schmassmannii	Species	Hust.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula schmassmannii	Artsnavnebase 20170303
Navicula schoenfeldii	Species	Hust.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula schoenfeldii	Artsnavnebase 20170303
Navicula schroeteri	Species	Meister	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula schroeteri	Artsnavnebase 20170303
Navicula scutelloides	Species	W.Sm. ex W.Greg.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula scutelloides	Artsnavnebase 20170303
Navicula seminulum	Species	Grunow	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula seminulum	Artsnavnebase 20170303
Navicula septentrionalis	Species	(Grunow) Gran	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula septentrionalis	Artsnavnebase 20170303
Navicula sibirica	Species	(Grunow) Gran	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula sibirica	Artsnavnebase 20170303
Navicula similis	Species	Krasske	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula similis	Artsnavnebase 20170303
Navicula slesvicensis	Species	Grunow	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula slesvicensis	Artsnavnebase 20170303
Navicula spicula	Species	(Hickie) Cleve	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula spicula	Artsnavnebase 20170303
Navicula streckerae	Species	Lange-Bert. & Witkowski	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula streckerae	Artsnavnebase 20170303
Navicula striolata	Species	(Grunow) Lange-Bert.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula striolata	Artsnavnebase 20170303
Navicula subalpina	Species	E.Reichardt	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula subalpina	Artsnavnebase 20170303
Navicula subcostulata	Species	Hust.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula subcostulata	Artsnavnebase 20170303
Navicula submuralis	Species	Hust.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula submuralis	Artsnavnebase 20170303
Navicula subrotundata	Species	Hust.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula subrotundata	Artsnavnebase 20170303
Navicula subtilissima	Species	Cleve	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula subtilissima	Artsnavnebase 20170303
Navicula suecicarum	Species	Van de Vijver, Jarlman & Lange-Bert.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula suecicarum	Artsnavnebase 20170303
Navicula superba	Species	Cleve	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula superba	Artsnavnebase 20170303
Navicula symmetrica	Species	Patrick	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula symmetrica	Artsnavnebase 20170303
Navicula tantula	Species	Hust.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula tantula	Artsnavnebase 20170303
Navicula tenelloides	Species	Hust.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula tenelloides	Artsnavnebase 20170303
Navicula transitans	Species	Cleve	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula transitans	Artsnavnebase 20170303
Navicula transitans var. derasa	Variety	(Grunow) Cleve	transitans	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula transitans var. derasa	Artsnavnebase 20170303
Navicula transitans f. delicatula	Forma	Heimdal	transitans	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula transitans var. derasa f. delicatula	Artsnavnebase 20170303
Navicula transitans var. transitans	Variety	Cleve	transitans	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula transitans var. transitans	Artsnavnebase 20170303
Navicula tridentula	Species	Krasske	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula tridentula	Artsnavnebase 20170303
Navicula tripunctata	Species	(O.F.Müll.) Bory	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula tripunctata	Artsnavnebase 20170303
Navicula trivialis	Species	Lange-Bert.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula trivialis	Artsnavnebase 20170303
Navicula trophicatrix	Species	Lange-Bert.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula trophicatrix	Artsnavnebase 20170303
Navicula ultratenelloides	Species	Lange-Bert.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula ultratenelloides	Artsnavnebase 20170303
Navicula umbra	Species	M.H.Hohn & Hellerman	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula umbra	Artsnavnebase 20170303
Navicula upsaliensis	Species	(Grunow) Peragallo	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula upsaliensis	Artsnavnebase 20170303
Navicula vandamii	Species	Schoeman & Archibald	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula vandamii	Artsnavnebase 20170303
Navicula vandamii var. mertensiae	Variety	Lange-Bert.	vandamii	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula vandamii var. mertensiae	Artsnavnebase 20170303
Navicula vandamii var. vandamii	Variety	Schoeman & Archibald	vandamii	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula vandamii var. vandamii	Artsnavnebase 20170303
Navicula vanhoeffenii	Species	Gran	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula vanhoeffenii	Artsnavnebase 20170303
Navicula vaucheriae	Species	(J.B.Petersen) Lange-Bert.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula vaucheriae	Artsnavnebase 20170303
Navicula venerablis	Species	M.H.Hohn & Hellerman	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula venerablis	Artsnavnebase 20170303
Navicula veneta	Species	Kütz.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula veneta	Artsnavnebase 20170303
Navicula ventralis	Species	(Krasske) Lange-Bert.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula ventralis	Artsnavnebase 20170303
Navicula vilaplanii	Species	(Lange-Bert. & Sabater) Lange-Bert. & Sabater	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula vilaplanii	Artsnavnebase 20170303
Navicula viridula	Species	(Kütz.) Ehrenb.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula viridula	Artsnavnebase 20170303
Navicula viridula var. linearis	Variety	Hust.	viridula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula viridula var. linearis	Artsnavnebase 20170303
Navicula viridula var. rostellata	Variety	(Kütz.) Cleve	viridula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula viridula var. rostellata	Artsnavnebase 20170303
Navicula viridula var. viridula	Variety	(Kütz.) Ehrenb.	viridula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula viridula var. viridula	Artsnavnebase 20170303
Navicula viridulacalcis	Species	Lange-Bert.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula viridulacalcis	Artsnavnebase 20170303
Navicula vitabunda	Species	Hust.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula vitabunda	Artsnavnebase 20170303
Navicula vulpina	Species	Kütz.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula vulpina	Artsnavnebase 20170303
Navicula wiesneri	Species	Lange-Bert.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula wiesneri	Artsnavnebase 20170303
Navicula wildii	Species	Lange-Bert.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula wildii	Artsnavnebase 20170303
Navicula wygaschi	Species	Lange-Bert.	Navicula	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navicula wygaschi	Artsnavnebase 20170303
Naviculadicta	Genus	Lange-Bert.	Naviculaceae	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Naviculadicta	Artsnavnebase 20170303
Naviculadicta absoluta	Species	(Hust.) Lange-Bert.	Naviculadicta	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Naviculadicta absoluta	Artsnavnebase 20170303
Naviculadicta digitulus	Species	(Hust.) Lange-Bert.	Naviculadicta	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Naviculadicta digitulus	Artsnavnebase 20170303
Naviculadicta elorantana	Species	Lange-Bert.	Naviculadicta	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Naviculadicta elorantana	Artsnavnebase 20170303
Naviculadicta litos	Species	(M.H.Hohn & Hellerman) Lange-Bert.	Naviculadicta	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Naviculadicta litos	Artsnavnebase 20170303
Naviculadicta multiconfusa	Species	Lange-Bert.	Naviculadicta	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Naviculadicta multiconfusa	Artsnavnebase 20170303
Naviculadicta pseudoventralis	Species	(Hust.) Lange-Bert.	Naviculadicta	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Naviculadicta pseudoventralis	Artsnavnebase 20170303
Naviculadicta raederae	Species	Lange-Bert.	Naviculadicta	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Naviculadicta raederae	Artsnavnebase 20170303
Naviculadicta stauroneioides	Species	Lange-Bert.	Naviculadicta	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Naviculadicta stauroneioides	Artsnavnebase 20170303
Naviculadicta vaucheriae	Species	(J.B.Petersen) Lange-Bert.	Naviculadicta	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Naviculadicta vaucheriae	Artsnavnebase 20170303
Naviculadicta ventraloconfusa	Species	(Lange-Bert.) Lange-Bert.	Naviculadicta	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Naviculadicta ventraloconfusa	Artsnavnebase 20170303
Naviculadicta vitabunda	Species	(Hust.) Lange-Bert.	Naviculadicta	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Naviculadicta vitabunda	Artsnavnebase 20170303
Naviculadicta witkowskii	Species	(Lange-Bert. & Metzeltin) Kulikovskiy & Lange-Bert.	Naviculadicta	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Naviculadicta witkowskii	Artsnavnebase 20170303
Navigiolum	Genus	Lange-Bert., Cavacini, Tagliaventi & Alfinito	Naviculaceae	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navigiolum	Artsnavnebase 20170303
Navigiolum canoris	Species	(M.H.Hohn & Hellerman) Lange-Bert.	Navigiolum	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Navigiolum canoris	Artsnavnebase 20170303
Nupela	Genus	Vyverman & Compère	Naviculaceae	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Nupela	Artsnavnebase 20170303
Nupela deformis	Species	Lange-Bert.	Nupela	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Nupela deformis	Artsnavnebase 20170303
Nupela fennica	Species	(Hust.) Lange-Bert.	Nupela	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Nupela fennica	Artsnavnebase 20170303
Nupela implexiformis	Species	(Lange-Bert.) Lange-Bert.	Nupela	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Nupela implexiformis	Artsnavnebase 20170303
Nupela lapidosa	Species	(Krasske) Lange-Bert.	Nupela	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Nupela lapidosa	Artsnavnebase 20170303
Nupela lapidosa var. subrostrata	Variety	(Hust.) Lange-Bert.	lapidosa	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Nupela lapidosa var. subrostrata	Artsnavnebase 20170303
Nupela silvahercynia	Species	(Lange-Bert.) Lange-Bert.	Nupela	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Naviculaceae - Nupela silvahercynia	Artsnavnebase 20170303
