kingdom	phylum	class_name	order	family	genus	species	subspecies	variety	forma	author	status	status-2
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Ostreococcus	tauri				Courties & Chret.-Dinet.	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	prasinos				W. Eikrem & J. Throndsen	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Mamiella					Moestrup	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Mantoniella					T.V. Desikachary	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas					I. Manton & M. Parke	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	pusilla				(R.W. Butcher) I. Manton & M. Parke	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Mantoniella	squamata				(I. Manton & M. Parke) T.V. Desikachary	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Mamiella	gilva				(M. Parke & D.G. Rayns) Ø. Moestrup	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis								Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae							Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Paramastigaceae							Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Tetramitaceae							Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Tetramitaceae	Tetramitus					Perty	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Tetramitaceae	Tetramitus	descissus				Perty	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Tetramitaceae	Tetramitus	pyriformis				G.A. Klebs	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Tetramitaceae	Tetramitus	rostratus				Perty	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Tetramitaceae	Tetramitus	rotundatus				Skuja	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Paramastigaceae	Paramastix					Skuja, 1948	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Paramastigaceae	Paramastix	conifera				Skuja	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Paramastigaceae	Paramastix	lata				Skuja	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Paramastigaceae	Paramastix	truncata				Skuja	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Hexamitus					Dujardin	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Trepomonas					Dujardin, 1841	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Trigonomonas					Klebs, 1892	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Trigonomonas	aechme				Skuja	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Trigonomonas	compressa				G.A. Klebs	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Trigonomonas	inflata				Skuja	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Trigonomonas	intermittens				Skuja	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Trigonomonas	tortuosa				Skuja	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Trepomonas	agilis				Dujard.	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Trepomonas	latecapitata				Skuja	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Trepomonas	rotans				G.A. Klebs	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Hexamitus	crassus				G.A. Klebs	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Hexamitus	inflatus				Dujard.	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Hexamitus	pusillus				G.A. Klebs	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Cladophorales							Haeckel	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Codiolales								Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Dasycladales							Pascher	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Siphonocladales							(F.F.Blackman & Tansley) Oltm.	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Trentepohliales							Chadef. ex R.H.Thomps. & Wujek	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulotrichales							Borzí	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales							F.F.Blackman & Tansley	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Oltmannsiellopsidales							T.Nakay., Shin. Watan. & I.Inouye	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Oltmannsiellopsidales	Oltmannsiellopsidaceae						T.Nakay., Shin. Watan. & I.Inouye	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Oltmannsiellopsidales	Oltmannsiellopsidaceae	Oltmannsiellopsis					Chihara & I.Inouye in Chihara, I.Inouye & Takahata	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Capsosiphonaceae						V.J.Chapm.	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Gayraliaceae						K.L.Vinogr.	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Bolbocoleonaceae						O'Kelly & Rinkel	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Kornmanniaceae						Golden & K.M.Cole	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Phaeophilaceae						D.F.Chappell, O'Kelly, L.W.Wilcox, & G.L.Floyd	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae						J.V.Lamour. ex Dumort.	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae						Schmidle	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Acrochaete					Pringsh.	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Epicladia					Reinke	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Pringsheimiella					Höhn.	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Pseudopringsheimia						Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Syncoryne					R.Nielsen & P.M.Pedersen	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Ulvella					P.Crouan & H.Crouan	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Ulvella	lens				P. Crouan & H. Crouan	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Ulvella	setchellii				Dangeard	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Ulvella	conchicola				C.T.C. Levring	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Ulvella	reticulata				(Printz) R.Nielsen, C.J.O'Kelly & B.Wysor, 2013	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Syncoryne	reinkei				R. Nielsen & P.M. Pedersen	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Pseudopringsheimia	confluens				(Rosenvinge) Wille	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Pringsheimiella	scutata				(Reinke)Marchewianka	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Epicladia	flustrae				Reinke	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Epicladia	perforans				(Huber) R. Nielsen	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Epicladia	phillipsi				R. Nielsen	Gyldig	Ingen_bistatus
